model,CV_MAE,CV_RMSE,CV_R2,test_MAE,test_RMSE,test_R2,training_time,status
hist_gradient_boosting,1894.4549449635317,3348.811938230537,0.9782676465589281,1796.536898286383,3107.855201367275,0.9812626651818801,25.572048800007906,evaluated
ridge,4326.730632054384,6263.214619771198,0.9239843514886128,4293.822465958755,6236.260132629077,0.9245542622201873,9.923411300056614,evaluated
dummy_mean,19791.40240878,22717.120372877656,-3.6531664557193366e-05,19768.69424587037,22704.23535747973,-5.741993791552602e-08,7.947138699993957,evaluated
